"id","categoryId","subcategoryId","itemId","name"
"M001","C001","SC001","I0001","メーカー001"
"M002","C001","SC002","I0005","メーカー002"
"M003","C001","SC003","I0009","メーカー003"
"M004","C001","SC004","I0013","メーカー004"
"M005","C001","SC005","I0017","メーカー005"
"M006","C002","SC006","I0021","メーカー006"
"M007","C002","SC007","I0025","メーカー007"
"M008","C002","SC008","I0029","メーカー008"
"M009","C002","SC009","I0033","メーカー009"
"M010","C002","SC010","I0037","メーカー010"
"M011","C003","SC011","I0041","メーカー011"
"M012","C003","SC012","I0045","メーカー012"
"M013","C003","SC013","I0049","メーカー013"
"M014","C003","SC014","I0053","メーカー014"
"M015","C003","SC015","I0057","メーカー015"
"M016","C004","SC016","I0061","メーカー016"
"M017","C004","SC017","I0065","メーカー017"
"M018","C004","SC018","I0069","メーカー018"
"M019","C004","SC019","I0073","メーカー019"
"M020","C004","SC020","I0077","メーカー020"
"M021","C005","SC021","I0081","メーカー021"
"M022","C005","SC022","I0085","メーカー022"
"M023","C005","SC023","I0089","メーカー023"
"M024","C005","SC024","I0093","メーカー024"
"M025","C005","SC025","I0097","メーカー025"
"M026","C006","SC026","I0101","メーカー026"
"M027","C006","SC027","I0105","メーカー027"
"M028","C006","SC028","I0109","メーカー028"
"M029","C006","SC029","I0113","メーカー029"
"M030","C006","SC030","I0117","メーカー030"
"M031","C007","SC031","I0121","メーカー031"
"M032","C007","SC032","I0125","メーカー032"
"M033","C007","SC033","I0129","メーカー033"
"M034","C007","SC034","I0133","メーカー034"
"M035","C007","SC035","I0137","メーカー035"
"M036","C008","SC036","I0141","メーカー036"
"M037","C008","SC037","I0145","メーカー037"
"M038","C008","SC038","I0149","メーカー038"
"M039","C008","SC039","I0153","メーカー039"
"M040","C008","SC040","I0157","メーカー040"
"M041","C009","SC041","I0161","メーカー041"
"M042","C009","SC042","I0165","メーカー042"
"M043","C009","SC043","I0169","メーカー043"
"M044","C009","SC044","I0173","メーカー044"
"M045","C009","SC045","I0177","メーカー045"
"M046","C010","SC046","I0181","メーカー046"
"M047","C010","SC047","I0185","メーカー047"
"M048","C010","SC048","I0189","メーカー048"
"M049","C010","SC049","I0193","メーカー049"
"M050","C010","SC050","I0197","メーカー050"
"M051","C011","SC051","I0201","メーカー051"
"M052","C011","SC052","I0205","メーカー052"
"M053","C011","SC053","I0209","メーカー053"
"M054","C011","SC054","I0213","メーカー054"
"M055","C011","SC055","I0217","メーカー055"
"M056","C012","SC056","I0221","メーカー056"
"M057","C012","SC057","I0225","メーカー057"
"M058","C012","SC058","I0229","メーカー058"
"M059","C012","SC059","I0233","メーカー059"
"M060","C012","SC060","I0237","メーカー060"
"M061","C013","SC061","I0241","メーカー061"
"M062","C013","SC062","I0245","メーカー062"
"M063","C013","SC063","I0249","メーカー063"
"M064","C013","SC064","I0253","メーカー064"
"M065","C013","SC065","I0257","メーカー065"
"M066","C014","SC066","I0261","メーカー066"
"M067","C014","SC067","I0265","メーカー067"
"M068","C014","SC068","I0269","メーカー068"
"M069","C014","SC069","I0273","メーカー069"
"M070","C014","SC070","I0277","メーカー070"
"M071","C015","SC071","I0281","メーカー071"
"M072","C015","SC072","I0285","メーカー072"
"M073","C015","SC073","I0289","メーカー073"
"M074","C015","SC074","I0293","メーカー074"
"M075","C015","SC075","I0297","メーカー075"
"M076","C016","SC076","I0301","メーカー076"
"M077","C016","SC077","I0305","メーカー077"
"M078","C016","SC078","I0309","メーカー078"
"M079","C016","SC079","I0313","メーカー079"
"M080","C016","SC080","I0317","メーカー080"
"M081","C017","SC081","I0321","メーカー081"
"M082","C017","SC082","I0325","メーカー082"
"M083","C017","SC083","I0329","メーカー083"
"M084","C017","SC084","I0333","メーカー084"
"M085","C017","SC085","I0337","メーカー085"
"M086","C018","SC086","I0341","メーカー086"
"M087","C018","SC087","I0345","メーカー087"
"M088","C018","SC088","I0349","メーカー088"
"M089","C018","SC089","I0353","メーカー089"
"M090","C018","SC090","I0357","メーカー090"
"M091","C019","SC091","I0361","メーカー091"
"M092","C019","SC092","I0365","メーカー092"
"M093","C019","SC093","I0369","メーカー093"
"M094","C019","SC094","I0373","メーカー094"
"M095","C019","SC095","I0377","メーカー095"
"M096","C020","SC096","I0381","メーカー096"
"M097","C020","SC097","I0385","メーカー097"
"M098","C020","SC098","I0389","メーカー098"
"M099","C020","SC099","I0393","メーカー099"
"M100","C020","SC100","I0397","メーカー100"
"M101","C021","SC101","I0401","メーカー101"
"M102","C021","SC102","I0405","メーカー102"
"M103","C021","SC103","I0409","メーカー103"
"M104","C021","SC104","I0413","メーカー104"
"M105","C021","SC105","I0417","メーカー105"
"M106","C022","SC106","I0421","メーカー106"
"M107","C022","SC107","I0425","メーカー107"
"M108","C022","SC108","I0429","メーカー108"
"M109","C022","SC109","I0433","メーカー109"
"M110","C022","SC110","I0437","メーカー110"
"M111","C023","SC111","I0441","メーカー111"
"M112","C023","SC112","I0445","メーカー112"
"M113","C023","SC113","I0449","メーカー113"
"M114","C023","SC114","I0453","メーカー114"
"M115","C023","SC115","I0457","メーカー115"
"M116","C024","SC116","I0461","メーカー116"
"M117","C024","SC117","I0465","メーカー117"
"M118","C024","SC118","I0469","メーカー118"
"M119","C024","SC119","I0473","メーカー119"
"M120","C024","SC120","I0477","メーカー120"
"M121","C025","SC121","I0481","メーカー121"
"M122","C025","SC122","I0485","メーカー122"
"M123","C025","SC123","I0489","メーカー123"
"M124","C025","SC124","I0493","メーカー124"
"M125","C025","SC125","I0497","メーカー125"
"M126","C026","SC126","I0501","メーカー126"
"M127","C026","SC127","I0505","メーカー127"
"M128","C026","SC128","I0509","メーカー128"
"M129","C026","SC129","I0513","メーカー129"
"M130","C026","SC130","I0517","メーカー130"
"M131","C027","SC131","I0521","メーカー131"
"M132","C027","SC132","I0525","メーカー132"
"M133","C027","SC133","I0529","メーカー133"
"M134","C027","SC134","I0533","メーカー134"
"M135","C027","SC135","I0537","メーカー135"
"M136","C028","SC136","I0541","メーカー136"
"M137","C028","SC137","I0545","メーカー137"
"M138","C028","SC138","I0549","メーカー138"
"M139","C028","SC139","I0553","メーカー139"
"M140","C028","SC140","I0557","メーカー140"
"M141","C029","SC141","I0561","メーカー141"
"M142","C029","SC142","I0565","メーカー142"
"M143","C029","SC143","I0569","メーカー143"
"M144","C029","SC144","I0573","メーカー144"
"M145","C029","SC145","I0577","メーカー145"
"M146","C030","SC146","I0581","メーカー146"
"M147","C030","SC147","I0585","メーカー147"
"M148","C030","SC148","I0589","メーカー148"
"M149","C030","SC149","I0593","メーカー149"
"M150","C030","SC150","I0597","メーカー150"
"M151","C031","SC151","I0601","メーカー151"
"M152","C031","SC152","I0605","メーカー152"
"M153","C031","SC153","I0609","メーカー153"
"M154","C031","SC154","I0613","メーカー154"
"M155","C031","SC155","I0617","メーカー155"
"M156","C032","SC156","I0621","メーカー156"
"M157","C032","SC157","I0625","メーカー157"
"M158","C032","SC158","I0629","メーカー158"
"M159","C032","SC159","I0633","メーカー159"
"M160","C032","SC160","I0637","メーカー160"
"M161","C033","SC161","I0641","メーカー161"
"M162","C033","SC162","I0645","メーカー162"
"M163","C033","SC163","I0649","メーカー163"
"M164","C033","SC164","I0653","メーカー164"
"M165","C033","SC165","I0657","メーカー165"
"M166","C034","SC166","I0661","メーカー166"
"M167","C034","SC167","I0665","メーカー167"
"M168","C034","SC168","I0669","メーカー168"
"M169","C034","SC169","I0673","メーカー169"
